trip_id,event_day,hidden_pair_id,income_bin,tract_median_income,matched_truth
syn-0-00-p00-0,2026-01-20,2026-01-20:pair:00:00,0,35000,True
syn-0-00-p00-1,2026-01-20,2026-01-20:pair:00:00,0,35000,True
syn-0-00-p01-0,2026-01-20,2026-01-20:pair:00:01,0,35000,True
syn-0-00-p01-1,2026-01-20,2026-01-20:pair:00:01,0,35000,True
syn-0-00-p02-0,2026-01-20,2026-01-20:pair:00:02,2,65000,True
syn-0-00-p02-1,2026-01-20,2026-01-20:pair:00:02,4,122000,True
syn-0-00-p03-0,2026-01-20,2026-01-20:pair:00:03,3,87000,True
syn-0-00-p03-1,2026-01-20,2026-01-20:pair:00:03,3,87000,True
syn-0-00-u00,2026-01-20,,0,35000,False
syn-0-00-u01,2026-01-20,,1,48000,False
syn-0-00-u02,2026-01-20,,2,65000,False
syn-0-00-u03,2026-01-20,,3,87000,False
syn-0-01-p00-0,2026-01-20,2026-01-20:pair:01:00,4,122000,True
syn-0-01-p00-1,2026-01-20,2026-01-20:pair:01:00,4,122000,True
syn-0-01-p01-0,2026-01-20,2026-01-20:pair:01:01,0,35000,True
syn-0-01-p01-1,2026-01-20,2026-01-20:pair:01:01,0,35000,True
syn-0-01-p02-0,2026-01-20,2026-01-20:pair:01:02,0,35000,True
syn-0-01-p02-1,2026-01-20,2026-01-20:pair:01:02,0,35000,True
syn-0-01-p03-0,2026-01-20,2026-01-20:pair:01:03,0,35000,True
syn-0-01-p03-1,2026-01-20,2026-01-20:pair:01:03,0,35000,True
syn-0-01-u00,2026-01-20,,1,48000,False
syn-0-01-u01,2026-01-20,,2,65000,False
syn-0-01-u02,2026-01-20,,3,87000,False
syn-0-01-u03,2026-01-20,,4,122000,False
syn-0-02-p00-0,2026-01-20,2026-01-20:pair:02:00,0,35000,True
syn-0-02-p00-1,2026-01-20,2026-01-20:pair:02:00,1,48000,True
syn-0-02-p01-0,2026-01-20,2026-01-20:pair:02:01,3,87000,True
syn-0-02-p01-1,2026-01-20,2026-01-20:pair:02:01,3,87000,True
syn-0-02-p02-0,2026-01-20,2026-01-20:pair:02:02,0,35000,True
syn-0-02-p02-1,2026-01-20,2026-01-20:pair:02:02,3,87000,True
syn-0-02-p03-0,2026-01-20,2026-01-20:pair:02:03,0,35000,True
syn-0-02-p03-1,2026-01-20,2026-01-20:pair:02:03,3,87000,True
syn-0-02-u00,2026-01-20,,2,65000,False
syn-0-02-u01,2026-01-20,,3,87000,False
syn-0-02-u02,2026-01-20,,4,122000,False
syn-0-02-u03,2026-01-20,,0,35000,False
