event_day,hidden_pair_id,trip_id_a,trip_id_b,income_bin_a,income_bin_b,same_income_bin
2026-01-20,2026-01-20:pair:00:00,syn-0-00-p00-0,syn-0-00-p00-1,0,0,True
2026-01-20,2026-01-20:pair:00:01,syn-0-00-p01-0,syn-0-00-p01-1,0,0,True
2026-01-20,2026-01-20:pair:00:02,syn-0-00-p02-0,syn-0-00-p02-1,2,4,False
2026-01-20,2026-01-20:pair:00:03,syn-0-00-p03-0,syn-0-00-p03-1,3,3,True
2026-01-20,2026-01-20:pair:01:00,syn-0-01-p00-0,syn-0-01-p00-1,4,4,True
2026-01-20,2026-01-20:pair:01:01,syn-0-01-p01-0,syn-0-01-p01-1,0,0,True
2026-01-20,2026-01-20:pair:01:02,syn-0-01-p02-0,syn-0-01-p02-1,0,0,True
2026-01-20,2026-01-20:pair:01:03,syn-0-01-p03-0,syn-0-01-p03-1,0,0,True
2026-01-20,2026-01-20:pair:02:00,syn-0-02-p00-0,syn-0-02-p00-1,0,1,False
2026-01-20,2026-01-20:pair:02:01,syn-0-02-p01-0,syn-0-02-p01-1,3,3,True
2026-01-20,2026-01-20:pair:02:02,syn-0-02-p02-0,syn-0-02-p02-1,0,3,False
2026-01-20,2026-01-20:pair:02:03,syn-0-02-p03-0,syn-0-02-p03-1,0,3,False
2026-01-20,2026-01-20:pair:03:00,syn-0-03-p00-0,syn-0-03-p00-1,1,1,True
2026-01-20,2026-01-20:pair:03:01,syn-0-03-p01-0,syn-0-03-p01-1,2,0,False
2026-01-20,2026-01-20:pair:03:02,syn-0-03-p02-0,syn-0-03-p02-1,1,2,False
2026-01-20,2026-01-20:pair:03:03,syn-0-03-p03-0,syn-0-03-p03-1,3,0,False
2026-01-20,2026-01-20:pair:04:00,syn-0-04-p00-0,syn-0-04-p00-1,0,0,True
2026-01-20,2026-01-20:pair:04:01,syn-0-04-p01-0,syn-0-04-p01-1,4,4,True
2026-01-20,2026-01-20:pair:04:02,syn-0-04-p02-0,syn-0-04-p02-1,2,2,True
2026-01-20,2026-01-20:pair:04:03,syn-0-04-p03-0,syn-0-04-p03-1,2,2,True
2026-01-20,2026-01-20:pair:05:00,syn-0-05-p00-0,syn-0-05-p00-1,2,2,True
2026-01-20,2026-01-20:pair:05:01,syn-0-05-p01-0,syn-0-05-p01-1,1,1,True
2026-01-20,2026-01-20:pair:05:02,syn-0-05-p02-0,syn-0-05-p02-1,0,3,False
2026-01-20,2026-01-20:pair:05:03,syn-0-05-p03-0,syn-0-05-p03-1,0,2,False
2026-01-20,2026-01-20:pair:06:00,syn-0-06-p00-0,syn-0-06-p00-1,3,3,True
