trip_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,pickup_census_tract,dropoff_census_tract,shared_trip_authorized,shared_trip_match,trips_pooled,fare,trip_total,synthetic_data_warning
syn-1-00-p00-0,2026-01-27 06:00:00,2026-01-27 06:15:00,810,2.436,41.882382,-87.653799,41.853281,-87.643709,28,60,17031000203,17031900201,True,True,2,9.34,13.59,SIMULATED; not a City of Chicago observation
syn-1-00-p00-1,2026-01-27 06:00:00,2026-01-27 06:15:00,870,2.39,41.88193,-87.652483,41.853146,-87.643529,28,60,17031000203,17031900201,True,True,2,9.5,13.75,SIMULATED; not a City of Chicago observation
syn-1-00-p01-0,2026-01-27 06:00:00,2026-01-27 06:15:00,865,2.249,41.88296,-87.646895,41.856647,-87.65044,28,60,17031000204,17031900202,True,True,2,9.3,13.55,SIMULATED; not a City of Chicago observation
syn-1-00-p01-1,2026-01-27 06:00:00,2026-01-27 06:15:00,955,2.368,41.88303,-87.646098,41.856975,-87.6501,28,60,17031000204,17031900202,True,True,2,9.78,14.03,SIMULATED; not a City of Chicago observation
syn-1-00-p02-0,2026-01-27 06:00:00,2026-01-27 06:15:00,770,2.056,41.879467,-87.63816,41.850847,-87.653318,28,60,17031000204,17031900202,True,True,2,8.7,12.95,SIMULATED; not a City of Chicago observation
syn-1-00-u00,2026-01-27 06:00:00,2026-01-27 06:15:00,393,3.551,41.876015,-87.633018,41.851275,-87.63752,28,60,17031000201,17031900200,True,False,1,9.24,13.49,SIMULATED; not a City of Chicago observation
syn-1-00-u01,2026-01-27 06:00:00,2026-01-27 06:15:00,675,1.606,41.878749,-87.634102,41.85047,-87.633787,28,60,17031000202,17031900201,True,False,1,7.78,12.03,SIMULATED; not a City of Chicago observation
syn-1-00-u02,2026-01-27 06:00:00,2026-01-27 06:15:00,1185,2.722,41.880588,-87.636765,41.851533,-87.634423,28,60,17031000203,17031900202,True,False,1,11.08,15.33,SIMULATED; not a City of Chicago observation
syn-1-00-u03,2026-01-27 06:00:00,2026-01-27 06:30:00,1766,1.364,41.879645,-87.631543,41.855664,-87.636827,28,60,17031000204,17031900203,True,False,1,11.47,15.72,SIMULATED; not a City of Chicago observation
syn-1-00-p02-1,2026-01-27 06:15:00,2026-01-27 06:15:00,830,2.067,41.876998,-87.644874,41.851477,-87.656993,28,60,17031000200,17031900203,True,True,2,8.94,13.19,SIMULATED; not a City of Chicago observation
syn-1-00-p03-0,2026-01-27 06:15:00,2026-01-27 06:30:00,853,2.317,41.881479,-87.64845,41.853354,-87.663905,28,60,17031000202,17031900200,True,True,2,9.34,13.59,SIMULATED; not a City of Chicago observation
syn-1-00-p03-1,2026-01-27 06:15:00,2026-01-27 06:30:00,836,2.392,41.882722,-87.647293,41.853529,-87.663688,28,60,17031000202,17031900200,True,True,2,9.38,13.63,SIMULATED; not a City of Chicago observation
syn-1-01-p00-0,2026-01-27 06:45:00,2026-01-27 07:15:00,1686,5.642,41.846631,-87.650324,41.791348,-87.592979,60,41,17031000304,17031900303,True,True,2,16.65,20.9,SIMULATED; not a City of Chicago observation
syn-1-01-p00-1,2026-01-27 06:45:00,2026-01-27 07:15:00,1608,5.617,41.848421,-87.650637,41.791414,-87.592204,60,41,17031000304,17031900303,True,True,2,16.33,20.58,SIMULATED; not a City of Chicago observation
syn-1-01-p01-0,2026-01-27 06:45:00,2026-01-27 07:15:00,1590,5.563,41.844331,-87.649914,41.790239,-87.58825,60,41,17031000301,17031900300,True,True,2,16.2,20.45,SIMULATED; not a City of Chicago observation
syn-1-01-p01-1,2026-01-27 06:45:00,2026-01-27 07:15:00,1538,5.654,41.843954,-87.649448,41.789828,-87.589879,60,41,17031000301,17031900300,True,True,2,16.13,20.38,SIMULATED; not a City of Chicago observation
syn-1-01-p02-0,2026-01-27 06:45:00,2026-01-27 07:15:00,1421,5.989,41.849546,-87.65088,41.80109,-87.590071,60,41,17031000304,17031900303,True,True,2,16.13,20.38,SIMULATED; not a City of Chicago observation
syn-1-01-p02-1,2026-01-27 06:45:00,2026-01-27 07:15:00,1359,6.088,41.850131,-87.649775,41.802373,-87.590952,60,41,17031000304,17031900303,True,True,2,16.03,20.28,SIMULATED; not a City of Chicago observation
syn-1-01-p03-0,2026-01-27 06:45:00,2026-01-27 07:15:00,1446,6.334,41.850131,-87.642477,41.791525,-87.581469,60,41,17031000304,17031900303,True,True,2,16.66,20.91,SIMULATED; not a City of Chicago observation
syn-1-01-p03-1,2026-01-27 06:45:00,2026-01-27 07:15:00,1495,6.49,41.850814,-87.64334,41.788968,-87.58141,60,41,17031000304,17031900303,True,True,2,17.04,21.29,SIMULATED; not a City of Chicago observation
syn-1-01-u00,2026-01-27 06:45:00,2026-01-27 07:00:00,720,8.971,41.847731,-87.632551,41.795328,-87.574921,60,41,17031000302,17031900302,True,False,1,17.37,21.62,SIMULATED; not a City of Chicago observation
