trip_id,trip_start_timestamp,trip_end_timestamp,shared_trip_authorized,shared_trip_match,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,fixture_provenance
SYNTH_PREV_BUFFER,2026-01-12T23:45:00,2026-01-13T00:15:00,true,true,2,41.000,-87.000,41.100,-87.000,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_CORE_MIDNIGHT,2026-01-13T00:00:00,2026-01-13T00:30:00,true,true,2,42.000,-88.000,42.100,-88.000,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_ROUND_LEFT,2026-01-13T10:15:00,2026-01-13T10:30:00,true,true,2,41.880,-87.630,41.900,-87.620,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_ROUND_RIGHT,2026-01-13T10:45:00,2026-01-13T11:00:00,true,true,2,41.881,-87.631,41.901,-87.621,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_AUTH_FALSE,2026-01-13T12:00:00,2026-01-13T12:30:00,false,true,2,41.850,-87.650,41.870,-87.640,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_AUTH_TRUE_PAIR,2026-01-13T12:15:00,2026-01-13T12:45:00,true,true,2,41.851,-87.651,41.871,-87.641,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_LATE_CORE,2026-01-13T23:45:00,2026-01-14T00:15:00,true,true,2,41.920,-87.700,41.930,-87.690,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_NEXT_BUFFER,2026-01-14T00:00:00,2026-01-14T00:30:00,true,true,2,41.921,-87.701,41.931,-87.691,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_MATCH_TRUE_K1,2026-01-13T08:00:00,2026-01-13T08:30:00,true,true,1,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_MATCH_NULL,2026-01-13T08:30:00,2026-01-13T09:00:00,true,,2,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_DUPLICATE,2026-01-13T14:00:00,2026-01-13T14:30:00,true,true,2,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_DUPLICATE,2026-01-13T14:15:00,2026-01-13T14:45:00,true,true,2,41.801,-87.601,41.811,-87.591,SYNTHETIC_ONLY_NO_CITY_ROWS
,2026-01-13T15:00:00,2026-01-13T15:30:00,true,true,2,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_MATCH_FALSE_K2,2026-01-13T16:00:00,2026-01-13T16:30:00,true,false,2,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_CONTEXT,2026-01-13T17:00:00,2026-01-13T17:30:00,false,false,1,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
SYNTH_BAD_CHRONOLOGY,2026-01-13T19:00:00,2026-01-13T18:00:00,true,false,1,41.800,-87.600,41.810,-87.590,SYNTHETIC_ONLY_NO_CITY_ROWS
