buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
445,492,120,PASS,0,47,2026-01-05T08:00:00,150,,,30,PARTIAL,d4470ba3c3f977080d6ba6e92e60f1b79fcecb9a036f515742d6ec5b643bed13,49ff68fcd36adb3c6d4ae99f1b93bbb6f89c1c092f8bf17e398726e28f687cbf,COMPLETED,18334,30,0
348,384,120,PASS,0,36,2026-01-05T12:00:00,150,,,30,PARTIAL,73636217652fc309919c1ea0303986802b8eaa806ef868a616a4aafce8d2f375,6e83f9185934ecb9b1932f59b27c8ad9ccda65ff0156024cc256fe7a71e32d7b,COMPLETED,9853,30,1
523,579,120,PASS,0,56,2026-01-05T17:30:00,150,,,30,PARTIAL,ed14f290aded66757c4d2d841f92d8e806e57c32ba470c8cb57eb0a0bc4cb4f6,b3f3e43a2820631b75d37e4f6c1a25459ef8df5158a0e05a34f287009e822c2b,COMPLETED,21735,30,2
463,507,120,PASS,0,44,2026-01-06T08:00:00,150,,,30,PARTIAL,b645a5bcf807f84e02ab69bd75d56c631f79d551c2444bffa1719e5b84463eb6,b16916ba9316423795f167b02d79adedef1c03592a0168e0385318f90e0449c3,COMPLETED,17467,30,3
668,716,120,PASS,0,48,2026-01-06T12:00:00,150,,,30,PARTIAL,90a334dd596c929f248ead4fedb1587767961e04d89fcea99dd939d320435c2a,abddb9b3f71da6195fa602d7cbc7026af3b965bd6d982079b6b924e8e66c30b5,COMPLETED,13502,30,4
498,548,120,PASS,0,50,2026-01-06T17:30:00,150,,,30,PARTIAL,a52371955d0c23022a85cd990f3d5abf7b0ffa363fd02edc50fc892fae851148,24dfbc86514c8196b0a9bc899c676b1d94c2f28f1fa199d4697df694b37de4e6,COMPLETED,19864,30,5
456,506,120,PASS,0,50,2026-01-07T08:00:00,150,,,30,PARTIAL,b90797ffc44b6d11abcf8d38544d13652c23a431e1000bff14be1244c60f42c1,b0894988941ac64d875ec1a607f24981abfa1ee0935a41bb27115326f830e494,COMPLETED,18553,30,6
321,363,120,PASS,0,42,2026-01-07T12:00:00,150,,,30,PARTIAL,c61e8be21004bf900122a8635d862d9d7603c1cbb0cc5a3ecc924f78706d2ca5,a7374d3e84ce501061b2cb4b042e08db87b8d03ada7a746a01e5d10d781b6920,COMPLETED,10561,30,7
547,601,120,PASS,0,54,2026-01-07T17:30:00,150,,,30,PARTIAL,65deed0de7059834da0bc2a1dbffdca66a5c2544c9947e853f43e1d011bba0b0,6200bb2c68ec63db5a6284c4f78a2a65dbe38055a5c336c6cd68a37221478aad,COMPLETED,23420,30,8
502,558,120,PASS,0,56,2026-01-08T08:00:00,150,,,30,PARTIAL,82d967ffd55c0bfe212dc1bf34f8adb786c86fb21f4c3c4ffe3dde082af13ba0,c804958492e50b9c3adced71baa3c92d8c69b460a487b0247534a35c059aa127,COMPLETED,23295,30,9
535,578,120,PASS,0,43,2026-01-08T12:00:00,150,,,30,PARTIAL,bf4a98a71e67e5cd775f7a60b3ed55895b69c4600658e3a72c2ea82663b7d0e2,0645c6d149909f933fe297f6b3ef2402fcc8dad7d1b9952152b5853f8d53cce8,COMPLETED,12442,30,10
851,913,112,PASS,0,62,2026-01-08T17:30:00,140,,,28,PARTIAL,023a1f42c615388736755e348cb4e6767600d9de03d984086ae080739542d61c,d0f3f58be8c0bcc5b1bf1d5f544812bfacf12b00c1fcc53abcf1d22a4317d047,COMPLETED,30399,28,11
556,612,120,PASS,0,56,2026-01-09T08:00:00,150,,,30,PARTIAL,ca3866cca176093e6a6c58028490475dce7527839c72027593242376977121e8,c827639833a8a6efa8f19af7378781ae07b1606394b10e1ab343d636b6e2cadb,COMPLETED,24322,30,12
450,504,120,PASS,0,54,2026-01-09T12:00:00,150,,,30,PARTIAL,4694811bbe6a7a06e30d932f697abcf800d14c4f42959ed10e1d4cfa687505c4,2f44d6df98d7669fa96d89145bc0a6e99872732255b298d596e0007332924e67,COMPLETED,18273,30,13
633,681,120,PASS,0,48,2026-01-09T17:30:00,150,,,30,PARTIAL,b8744dcf12df860a013d2592786be99ca5e67fcc378eda3509476c067e641c9a,d62fa81d89b968e576c45af42ba34ed75c39b9f62fca9ab3f0049cc6ed8a72f2,COMPLETED,23492,30,14
593,670,120,PASS,0,77,2026-01-12T08:00:00,150,,,30,PARTIAL,cc0adca08351f3aa55fefad084be393881e669a42eb5c009a783d8123d26a6ef,f5059a793da115b129a5206caf992c0b2aae6e672ba194062c7c9a2ac465e341,COMPLETED,32792,30,15
372,406,120,PASS,0,34,2026-01-12T12:00:00,150,,,30,PARTIAL,588676cb622f321c30b6162bb5955c9a6a16261d394a807d4052abc49c78b2e2,4c9dda1a3a9dc48c90e60559ea81e2cc239471244af45326234058cc4b0994c7,COMPLETED,7949,30,16
523,584,112,PASS,0,61,2026-01-12T17:30:00,140,,,28,PARTIAL,03d3a0f90ce893749dfed4ed79c43e61dd9c802d808a9c949e7a4d471d2ac39c,f1f6f158cd67e1a3130bac79b80983fddd5bca8b3987c7696cc9036fc13689d1,COMPLETED,25776,28,17
537,596,120,PASS,0,59,2026-01-13T08:00:00,150,,,30,PARTIAL,4d2a4a3cbce9eadc170febe9bd19c055a50dba4482a9cda2660cbc1ab2f0d559,1566cfb3e5eceb9dd6d6c01aaccae19165bc2b0dcead647b6f332f7893e5e322,COMPLETED,23045,30,18
388,435,120,PASS,0,47,2026-01-13T12:00:00,150,,,30,PARTIAL,fa409dceb1d50c06d04e91b569891ed8c2af5225210df853aac1575b569758b0,0935559fb4eb02eb4599357b67b722b8f1a608a6d6420433541b57b5abc02979,COMPLETED,13079,30,19
551,611,120,PASS,0,60,2026-01-13T17:30:00,150,,,30,PARTIAL,4134d99b05184c3d0370e88a199bac1a0bded6d3d43b9847af0aff8a8a4a7a5d,c79bc186b04f45fb68e5960d0ee38109c545b56ff4c10cfe28c67536cc7bb165,COMPLETED,24274,30,20
,,,,,,2026-01-14T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,21
406,442,120,PASS,0,36,2026-01-14T12:00:00,150,,,30,PARTIAL,9259861a9c389452dfbee153d12c7967deb2f3c0e111125fed23300b497e8898,5b4ebfbb70c6e282245066d86c580027c0d077ba4c1399e920376dfb840e30fa,COMPLETED,11381,30,22
590,664,120,PASS,0,74,2026-01-14T17:30:00,150,,,30,PARTIAL,6f2b28a301830ab0e728e8cba8a808a4b12e9e6f8a62cdb5300046b3b9f6c790,8e4f4bede03291042a7a6da8df308ad05e784a398ad33bbab8e22de1daf88366,COMPLETED,33777,30,23
