curve_type,parameter_label,parameter_value,radius_km,gamma_core_incidences,edge_count,retained_fraction_of_temporal,spatially_unmeasured_edges_retained,core_zero_degree_count,core_min_degree,core_max_degree,cover_status,cover_mip_gap,query,unit,lower,upper,width,endpoint_pair_certification,diagnostic_lower_nonoptimal_incumbent,diagnostic_upper_nonoptimal_incumbent,lower_status,upper_status,lower_mip_gap,upper_mip_gap,max_replay_residual,edges_with_missing_query_values,query_missing_semantics,endpoint_source,claim
radius,0 km,0.0,0.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.12157446808510644,23.311436170212765,23.189861702127658,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0 km,0.0,0.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.22943262411347518,37.80354609929078,37.5741134751773,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0 km,0.0,0.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,159,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0 km,0.0,0.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,0.9999999999999999,0.9999999999999999,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0 km,0.0,0.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.25 km,0.25,0.25,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.12157446808510644,23.311436170212765,23.189861702127658,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.25 km,0.25,0.25,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.22943262411347518,37.80354609929078,37.5741134751773,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.25 km,0.25,0.25,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,159,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.25 km,0.25,0.25,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,0.9999999999999999,0.9999999999999999,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.25 km,0.25,0.25,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.5 km,0.5,0.5,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.12157446808510644,23.311436170212765,23.189861702127658,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.5 km,0.5,0.5,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.22943262411347518,37.80354609929078,37.5741134751773,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.5 km,0.5,0.5,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,159,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.5 km,0.5,0.5,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,0.9999999999999999,0.9999999999999999,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,0.5 km,0.5,0.5,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,1 km,1.0,1.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.12157446808510644,23.311436170212765,23.189861702127658,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,1 km,1.0,1.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.22943262411347518,37.80354609929078,37.5741134751773,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,1 km,1.0,1.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,159,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,1 km,1.0,1.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,0.9999999999999999,0.9999999999999999,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,1 km,1.0,1.0,,10818,0.5900512708628777,10818,0,126,491,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
