curve_type,query,parameter_label,paired_window_count,within_1pct_of_full_count,within_1pct_of_full_fraction,relative_distance_to_full_median,base_to_full_change_median,base_to_full_change_q25,base_to_full_change_q75
buffer_padding,mean_absolute_duration_gap_per_core,0 min,90,20,0.2222222222222222,0.019032912340002248,0.8629251700680243,0.5142636402387097,1.1776260964912275
buffer_padding,mean_absolute_duration_gap_per_core,15 min,90,90,1.0,0.0,0.8629251700680243,0.5142636402387097,1.1776260964912275
buffer_padding,mean_absolute_fare_gap_per_core,0 min,2,0,0.0,0.5067934782608696,12.660256410256412,6.4903846153846185,18.830128205128204
buffer_padding,mean_absolute_fare_gap_per_core,15 min,2,2,1.0,0.0,12.660256410256412,6.4903846153846185,18.830128205128204
buffer_padding,mean_absolute_trip_miles_gap_per_core,0 min,89,15,0.16853932584269662,0.023191987930536322,0.5266216216216222,0.2921666666666667,0.7722560975609767
buffer_padding,mean_absolute_trip_miles_gap_per_core,15 min,89,89,1.0,0.0,0.5266216216216222,0.2921666666666667,0.7722560975609767
buffer_padding,same_dropoff_community_area_fraction_per_core,0 min,90,90,1.0,0.0,0.0,0.0,0.0
buffer_padding,same_dropoff_community_area_fraction_per_core,15 min,90,90,1.0,0.0,0.0,0.0,0.0
buffer_padding,same_pickup_community_area_fraction_per_core,0 min,90,89,0.9888888888888889,0.0,0.0,0.0,0.0
buffer_padding,same_pickup_community_area_fraction_per_core,15 min,90,90,1.0,0.0,0.0,0.0,0.0
candidate_omission,mean_absolute_duration_gap_per_core,0,88,20,0.22727272727272727,0.019032912340002248,0.8629251700680243,0.489579506021645,1.1761531432748527
candidate_omission,mean_absolute_duration_gap_per_core,1,88,42,0.4772727272727273,0.010742121524214731,0.8629251700680243,0.489579506021645,1.1761531432748527
candidate_omission,mean_absolute_duration_gap_per_core,2,88,65,0.7386363636363636,0.005698927359861659,0.8629251700680243,0.489579506021645,1.1761531432748527
candidate_omission,mean_absolute_duration_gap_per_core,4,87,80,0.9195402298850575,0.001243956723754052,0.8615646258503347,0.4668401714635735,1.1687268518518508
candidate_omission,mean_absolute_duration_gap_per_core,8,87,86,0.9885057471264368,1.7391689280411881e-16,0.8615646258503347,0.4668401714635735,1.1687268518518508
candidate_omission,mean_absolute_duration_gap_per_core,full-support,88,88,1.0,0.0,0.8629251700680243,0.489579506021645,1.1761531432748527
candidate_omission,mean_absolute_fare_gap_per_core,0,2,0,0.0,0.5067934782608695,12.660256410256409,6.490384615384613,18.830128205128204
candidate_omission,mean_absolute_fare_gap_per_core,1,2,2,1.0,0.0006793478260869353,12.660256410256409,6.490384615384613,18.830128205128204
candidate_omission,mean_absolute_fare_gap_per_core,2,2,2,1.0,0.0,12.660256410256409,6.490384615384613,18.830128205128204
candidate_omission,mean_absolute_fare_gap_per_core,4,1,1,1.0,0.0,0.3205128205128176,0.3205128205128176,0.3205128205128176
candidate_omission,mean_absolute_fare_gap_per_core,8,1,1,1.0,1.5060416681871688e-16,0.3205128205128176,0.3205128205128176,0.3205128205128176
candidate_omission,mean_absolute_fare_gap_per_core,full-support,2,2,1.0,0.0,12.660256410256409,6.490384615384613,18.830128205128204
candidate_omission,mean_absolute_trip_miles_gap_per_core,0,90,15,0.16666666666666666,0.02325233074636853,0.5313487854943553,0.2928014705882358,0.7691920731707302
candidate_omission,mean_absolute_trip_miles_gap_per_core,1,90,44,0.4888888888888889,0.010730506309076508,0.5313487854943553,0.2928014705882358,0.7691920731707302
candidate_omission,mean_absolute_trip_miles_gap_per_core,2,90,61,0.6777777777777778,0.004883449044006864,0.5313487854943553,0.2928014705882358,0.7691920731707302
candidate_omission,mean_absolute_trip_miles_gap_per_core,4,89,87,0.9775280898876404,0.0009632898977160912,0.5266216216216222,0.2921666666666667,0.7600000000000016
candidate_omission,mean_absolute_trip_miles_gap_per_core,8,89,89,1.0,1.5280610650441425e-16,0.5266216216216222,0.2921666666666667,0.7600000000000016
candidate_omission,mean_absolute_trip_miles_gap_per_core,full-support,90,90,1.0,0.0,0.5313487854943553,0.2928014705882358,0.7691920731707302
candidate_omission,same_dropoff_community_area_fraction_per_core,0,90,90,1.0,0.0,0.0,0.0,0.0
candidate_omission,same_dropoff_community_area_fraction_per_core,1,90,90,1.0,0.0,0.0,0.0,0.0
candidate_omission,same_dropoff_community_area_fraction_per_core,2,90,90,1.0,0.0,0.0,0.0,0.0
