curve_type,parameter_label,parameter_value,radius_km,gamma_core_incidences,edge_count,retained_fraction_of_temporal,spatially_unmeasured_edges_retained,core_zero_degree_count,core_min_degree,core_max_degree,cover_status,cover_mip_gap
radius,0 km,0.0,0.0,,11865,0.4887945950399605,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,0.25 km,0.25,0.25,,11865,0.4887945950399605,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,0.5 km,0.5,0.5,,11869,0.48895938040701986,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,1 km,1.0,1.0,,11894,0.48998928895114113,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,8 km,8.0,8.0,,13318,0.5486528796242893,11865,0,121,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,16 km,16.0,16.0,,18450,0.7600725055615062,11865,0,164,561,OPTIMAL_NUMERICAL_MILP,0.0
radius,32 km,32.0,32.0,,23838,0.9820383949905248,11865,0,299,586,OPTIMAL_NUMERICAL_MILP,0.0
radius,temporal-only,,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,0,0.0,2.0,0,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,1,1.0,2.0,1,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,2,2.0,2.0,2,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,4,4.0,2.0,4,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,8,8.0,2.0,8,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,15,15.0,2.0,15,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,16,16.0,2.0,16,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,30,30.0,2.0,30,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
gamma,60,60.0,2.0,60,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0
