curve_type,parameter_label,edge_count,miles_lower,miles_upper,miles_width,duration_lower_minutes,duration_upper_minutes,duration_width_minutes,endpoint_pair_certification,max_mip_gap,max_replay_residual
radius,0 km,11865,0.715573333333,19.8164566667,19.1008833333,1.31472222222,45.4233333333,44.1086111111,CERTIFIED_OPTIMAL_PAIR,0,0
radius,0.25 km,11865,0.715573333333,19.8164566667,19.1008833333,1.31472222222,45.4233333333,44.1086111111,CERTIFIED_OPTIMAL_PAIR,0,0
radius,0.5 km,11869,0.340641666667,19.8164566667,19.475815,0.63,45.4233333333,44.7933333333,CERTIFIED_OPTIMAL_PAIR,0,0
radius,1 km,11894,0.328475,19.8164566667,19.4879816667,0.585833333333,45.4233333333,44.8375,CERTIFIED_OPTIMAL_PAIR,0,0
radius,2 km,11965,0.168685,19.8164566667,19.6477716667,0.447222222222,45.4233333333,44.9761111111,CERTIFIED_OPTIMAL_PAIR,0,0
radius,4 km,12137,0.123955,19.8164566667,19.6925016667,0.424722222222,45.6147222222,45.19,CERTIFIED_OPTIMAL_PAIR,0,0
radius,8 km,13318,0.0793333333333,19.8880383333,19.808705,0.2725,46.045,45.7725,CERTIFIED_OPTIMAL_PAIR,0,0
radius,16 km,18450,0.041105,20.2905666667,20.2494616667,0.168611111111,46.9908333333,46.8222222222,CERTIFIED_OPTIMAL_PAIR,0,0
radius,32 km,23838,0.0315916666667,20.2977333333,20.2661416667,0.118333333333,47.0602777778,46.9419444444,CERTIFIED_OPTIMAL_PAIR,0,0
radius,temporal-only,24274,0.0315916666667,20.2977333333,20.2661416667,0.118333333333,47.0602777778,46.9419444444,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,0,24274,0.168685,19.8164566667,19.6477716667,0.447222222222,45.4233333333,44.9761111111,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,1,24274,0.140255,19.8778866667,19.7376316667,0.375,45.6266666667,45.2516666667,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,2,24274,0.119681666667,19.9369066667,19.817225,0.325555555556,45.8138888889,45.4883333333,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,4,24274,0.09582,20.0497133333,19.9538933333,0.261111111111,46.1305555556,45.8694444444,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,8,24274,0.0686016666667,20.2220766667,20.153475,0.206944444444,46.6111111111,46.4041666667,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,15,24274,0.0457933333333,20.2977333333,20.25194,0.160833333333,47.0466666667,46.8858333333,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,16,24274,0.043555,20.2977333333,20.2541783333,0.156111111111,47.0575,46.9013888889,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,30,24274,0.031705,20.2977333333,20.2660283333,0.119444444444,47.0602777778,46.9408333333,CERTIFIED_OPTIMAL_PAIR,0,0
gamma,60,24274,0.0315916666667,20.2977333333,20.2661416667,0.118333333333,47.0602777778,46.9419444444,CERTIFIED_OPTIMAL_PAIR,0,0
