absolute_gap,buffer_branches,buffer_rows,capacity,core_rows,elapsed_seconds,elapsed_seconds_wall,exhaustive_integer_maximum_selected_buffers,exhaustive_master_state_count,full_run_column_count,global_lower_bound,global_upper_bound,independent_complete_enumeration_check,integer_maximum_selected_buffers,maximum_depth,maximum_pricing_cases_for_one_root,nodes_bound_pruned,nodes_infeasible,nodes_integral,nodes_processed,open_node_count,pair_branches,reason,root_integrality_gap,root_lp_upper_bound,selected_column_count,status,total_generated_columns_across_nodes,total_oracle_lp_solve_count,total_pricing_case_count,total_rows
,0,12,2,4,0.43367034600001375,0.4807889269999919,4,888,54,4.0,4.0,True,4.0,0,1,1,0,0,1,,0,,0.0,4.0,4,INTEGER_OPTIMUM_CERTIFIED,54,450,8,16
,0,12,3,4,6.892382292999997,6.976180139000007,8,7506,394,8.0,8.0,True,8.0,2,4,4,0,0,4,,3,,0.0,8.0,4,INTEGER_OPTIMUM_CERTIFIED,303,6552,127,16
,0,12,4,4,5.927974397999975,6.218402319999996,12,12679,1719,12.0,12.0,True,12.0,1,2,2,0,0,2,,1,,1.7763568394002505e-15,12.000000000000002,4,INTEGER_OPTIMUM_CERTIFIED,208,5400,96,16
,0,18,2,6,4.036172031999996,4.036212802000023,,,,8.0,8.0,False,8.0,0,1,1,0,0,1,,0,,0.0,8.0,6,INTEGER_OPTIMUM_CERTIFIED,115,3185,30,24
,1,18,3,6,56.31722442999998,56.31731089799996,,,,14.0,14.0,False,14.0,3,8,8,0,0,8,,6,,0.0,14.0,6,INTEGER_OPTIMUM_CERTIFIED,1215,44390,478,24
,0,18,4,6,15.26225636099997,15.26231062200003,,,,18.0,18.0,False,18.0,0,1,1,0,0,1,,0,,0.0,18.0,6,INTEGER_OPTIMUM_CERTIFIED,205,11466,108,24
,0,24,2,8,12.209514463999994,12.209560338000017,,,,12.0,12.0,False,12.0,0,1,1,0,0,1,,0,,0.0,12.0,8,INTEGER_OPTIMUM_CERTIFIED,206,8154,48,32
,0,24,3,8,62.05318764200001,62.053254443000014,,,,20.0,20.0,False,20.0,2,4,3,0,0,3,,2,,0.0,20.0,8,INTEGER_OPTIMUM_CERTIFIED,836,38227,224,32
,0,24,4,8,79.94332055699999,79.94337819600003,,,,24.0,24.0,False,24.0,2,4,4,0,0,4,,3,,-3.197442310920451e-14,23.999999999999968,8,INTEGER_OPTIMUM_CERTIFIED,1123,49559,336,32
,0,30,2,10,52.46664978900003,52.466702271999964,,,,16.0,16.0,False,16.0,0,1,1,0,0,1,,0,,0.0,16.0,10,INTEGER_OPTIMUM_CERTIFIED,332,28820,110,40
,0,30,3,10,86.362174703,86.36225595599996,,,,26.0,26.0,False,26.0,0,1,1,0,0,1,,0,,-1.4210854715202004e-14,25.999999999999986,10,INTEGER_OPTIMUM_CERTIFIED,427,41920,160,40
,0,30,4,10,1031.001562194,1031.001656641,,,,30.0,30.0,False,30.0,4,16,8,0,0,8,,7,,3.907985046680551e-14,30.00000000000004,10,INTEGER_OPTIMUM_CERTIFIED,3254,349152,1575,40
,0,36,2,12,145.941463645,145.94152955099992,,,,20.0,20.0,False,20.0,0,1,1,0,0,1,,0,,0.0,20.0,12,INTEGER_OPTIMUM_CERTIFIED,493,64753,156,48
,0,36,3,12,198.90832300400007,198.90846131499995,,,,32.0,32.0,False,32.0,0,1,1,0,0,1,,0,,-6.394884621840902e-14,31.999999999999936,12,INTEGER_OPTIMUM_CERTIFIED,580,79696,192,48
,0,36,4,12,2075.490335846,2075.4904837189997,,,,36.0,36.0,False,36.0,4,16,11,0,0,11,,10,,7.105427357601002e-15,36.00000000000001,12,INTEGER_OPTIMUM_CERTIFIED,5498,544203,2676,48
,0,48,2,16,415.58779501799995,415.5878913659999,,,,28.0,28.0,False,28.0,0,1,1,0,0,1,,0,,0.0,28.0,16,INTEGER_OPTIMUM_CERTIFIED,832,126600,192,64
,1,48,3,16,1068.7328939279998,1068.7330998119999,,,,44.0,44.0,False,44.0,1,1,3,0,0,3,,1,,1.4210854715202004e-14,44.000000000000014,16,INTEGER_OPTIMUM_CERTIFIED,2907,242650,368,64
,0,48,4,16,4193.201604729999,4193.201822898,,,,48.0,48.0,False,48.0,4,16,7,0,0,7,,6,,7.105427357601002e-15,48.00000000000001,16,INTEGER_OPTIMUM_CERTIFIED,6874,744622,1672,64
