capacity,certified_support_gain_lower_bound,coarse_certified_feasible_counts,coarse_certified_max_selected_buffers,coarse_proven_infeasible_counts,coarse_unresolved_counts,exact_feasible_counts,exact_master_state_count,exact_max_selected_buffers,exact_run_column_count,max_exact_run_column_size,provider,scan_end,scan_start,selected_core_end,selected_core_start,source_candidate_rows,source_core_rows,window_label
2,1,0;1;2;3;4;5;6;7;8,8,,9;10;11;12,0;1;2;3;4;5;6;7,2995,7,127,4,HV0003,2023-04-04T21:00:00,2023-04-04T17:00:00,2023-04-04T17:45:00,2023-04-04T17:30:00,341,37,apr_weekday_pm
3,1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11,9816,11,946,6,HV0003,2023-04-04T21:00:00,2023-04-04T17:00:00,2023-04-04T17:45:00,2023-04-04T17:30:00,341,37,apr_weekday_pm
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,14766,12,3841,7,HV0003,2023-04-04T21:00:00,2023-04-04T17:00:00,2023-04-04T17:45:00,2023-04-04T17:30:00,341,37,apr_weekday_pm
2,3,0;1;2;3;4;5;6;7;8,8,,9;10;11;12,0;1;2;3;4;5,1463,5,78,3,HV0005,2023-01-03T10:00:00,2023-01-03T06:00:00,2023-01-03T07:00:00,2023-01-03T06:45:00,389,37,jan_weekday_am
3,3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9,8321,9,560,4,HV0005,2023-01-03T10:00:00,2023-01-03T06:00:00,2023-01-03T07:00:00,2023-01-03T06:45:00,389,37,jan_weekday_am
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,13317,12,2366,5,HV0005,2023-01-03T10:00:00,2023-01-03T06:00:00,2023-01-03T07:00:00,2023-01-03T06:45:00,389,37,jan_weekday_am
2,4,0;1;2;3;4;5;6;8,8,,7;9;10;11;12,0;2;4,888,4,54,2,HV0005,2023-01-03T21:00:00,2023-01-03T17:00:00,2023-01-03T18:00:00,2023-01-03T17:45:00,437,38,jan_weekday_pm
3,4,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8,7506,8,394,3,HV0005,2023-01-03T21:00:00,2023-01-03T17:00:00,2023-01-03T18:00:00,2023-01-03T17:45:00,437,38,jan_weekday_pm
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,12679,12,1719,4,HV0005,2023-01-03T21:00:00,2023-01-03T17:00:00,2023-01-03T18:00:00,2023-01-03T17:45:00,437,38,jan_weekday_pm
2,7,0;1;2;3;4;5;6;7;8;9;10;11,11,,12,0;2;4,888,4,54,2,HV0003,2023-01-07T22:00:00,2023-01-07T18:00:00,2023-01-07T18:45:00,2023-01-07T18:30:00,181,18,jan_weekend_pm
3,4,0;1;2;3;4;5;6;7;8;9;11;12,12,,10,0;1;2;3;4;5;6;7;8,7506,8,394,3,HV0003,2023-01-07T22:00:00,2023-01-07T18:00:00,2023-01-07T18:45:00,2023-01-07T18:30:00,181,18,jan_weekend_pm
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,12679,12,1719,4,HV0003,2023-01-07T22:00:00,2023-01-07T18:00:00,2023-01-07T18:45:00,2023-01-07T18:30:00,181,18,jan_weekend_pm
2,2,0;1;2;3;4;5;6;7;8,8,,9;10;11;12,0;1;2;3;4;5;6,1940,6,90,4,HV0003,2023-07-05T21:00:00,2023-07-05T17:00:00,2023-07-05T17:30:00,2023-07-05T17:15:00,562,40,jul_weekday_pm
3,2,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10,8543,10,648,5,HV0003,2023-07-05T21:00:00,2023-07-05T17:00:00,2023-07-05T17:30:00,2023-07-05T17:15:00,562,40,jul_weekday_pm
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,13634,12,2716,6,HV0003,2023-07-05T21:00:00,2023-07-05T17:00:00,2023-07-05T17:30:00,2023-07-05T17:15:00,562,40,jul_weekday_pm
2,3,0;1;2;3;4;5;6;7;8,8,,9;10;11;12,0;1;2;3;4;5,1726,5,87,3,HV0003,2023-10-03T21:00:00,2023-10-03T17:00:00,2023-10-03T17:30:00,2023-10-03T17:15:00,510,40,oct_weekday_pm
3,3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9,8127,9,622,4,HV0003,2023-10-03T21:00:00,2023-10-03T17:00:00,2023-10-03T17:30:00,2023-10-03T17:15:00,510,40,oct_weekday_pm
4,0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,,,0;1;2;3;4;5;6;7;8;9;10;11;12,13685,12,2582,5,HV0003,2023-10-03T21:00:00,2023-10-03T17:00:00,2023-10-03T17:30:00,2023-10-03T17:15:00,510,40,oct_weekday_pm
