capacity,selected_buffer_count,selected_buffers_per_core,exact_classification,coarse_classification,coarse_solver_status,coarse_mip_gap,variable_count,constraint_count
2,0,0.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,1,0.25,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,2,0.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,3,0.75,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,4,1.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,5,1.25,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,6,1.5,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,7,1.75,EXACT_INFEASIBLE,UNRESOLVED,UNRESOLVED_INVALID_INCUMBENT,0.0,2180,4155
2,8,2.0,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2180,4155
2,9,2.25,EXACT_INFEASIBLE,UNRESOLVED,UNRESOLVED_NO_INCUMBENT,,2180,4155
2,10,2.5,EXACT_INFEASIBLE,UNRESOLVED,UNRESOLVED_NO_INCUMBENT,,2180,4155
2,11,2.75,EXACT_INFEASIBLE,UNRESOLVED,UNRESOLVED_NO_INCUMBENT,,2180,4155
2,12,3.0,EXACT_INFEASIBLE,UNRESOLVED,UNRESOLVED_NO_INCUMBENT,,2180,4155
3,0,0.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,1,0.25,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,2,0.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,3,0.75,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,4,1.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,5,1.25,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,6,1.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,7,1.75,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,8,2.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,9,2.25,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,10,2.5,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,11,2.75,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
3,12,3.0,EXACT_INFEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,2632,4943
4,0,0.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,1,0.25,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,2,0.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,3,0.75,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,4,1.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,5,1.25,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,6,1.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,7,1.75,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,8,2.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,9,2.25,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,10,2.5,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,11,2.75,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
4,12,3.0,EXACT_FEASIBLE,CERTIFIED_FEASIBLE_WITNESS,OPTIMAL_NUMERICAL_MILP,0.0,3084,5731
