baseline_disagreement_rate,capacity,cell_count,decision_ambiguity_rate,exact_cell_count,exact_rate,maximum_candidate_rows,maximum_total_seconds,maximum_variables,median_exact_width,median_total_seconds,median_width_over_candidate_iqr,ordered_core_rows,query
0.11764705882352941,2,17,1.0,13,0.7647058823529411,562,138.41641446299997,21832,19.291249999999998,53.72579931500002,3.75207986688852,8,mean_selected_buffer_miles
0.11764705882352941,3,17,1.0,16,0.9411764705882353,562,106.86808949800002,21832,20.44125,41.38883702000004,3.8657065301313933,8,mean_selected_buffer_miles
0.11764705882352941,4,17,1.0,17,1.0,562,133.238359114,21832,20.0575,25.661196451000023,3.9718456725756,8,mean_selected_buffer_miles
0.35294117647058826,2,17,1.0,14,0.8235294117647058,562,154.233442073,21832,60.87916666666667,40.32232356999998,3.1534975422739926,8,mean_selected_buffer_trip_minutes
0.35294117647058826,3,17,1.0,14,0.8235294117647058,562,192.86086655500014,21832,62.65729166666667,59.634403973000076,3.160533602080501,8,mean_selected_buffer_trip_minutes
0.35294117647058826,4,17,1.0,17,1.0,562,118.03184169799988,21832,62.88125000000001,37.50546793199999,3.1774406332453826,8,mean_selected_buffer_trip_minutes
0.0,2,4,0.75,2,0.5,562,490.41312643000015,43664,19.625625,322.5590673909998,4.033448260907277,16,mean_selected_buffer_miles
0.0,3,4,1.0,0,0.0,562,481.50561075199994,43664,,392.51497638349986,,16,mean_selected_buffer_miles
0.0,4,4,1.0,2,0.5,562,396.33038181899974,43664,17.8885,316.72358405700015,4.0822464945988335,16,mean_selected_buffer_miles
0.0,2,4,1.0,2,0.5,562,462.948103252,43664,68.2015625,345.99260964549995,3.1309871389044526,16,mean_selected_buffer_trip_minutes
0.0,3,4,1.0,2,0.5,562,484.2578331010004,43664,68.32135416666668,269.0241467920001,3.1368959176924545,16,mean_selected_buffer_trip_minutes
0.0,4,4,1.0,2,0.5,562,483.9284676060015,43664,68.32135416666667,291.334911574,3.136895917692454,16,mean_selected_buffer_trip_minutes
