capacity,cell_count,certified_all_above_count,certified_all_below_count,certified_ambiguity_rate,certified_ambiguous_count,ordered_core_rows,point_disagreement_rate,query,threshold_rule,unresolved_count
2,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,candidate_median,0
2,17,0,0,1.0,17,8,0.0,mean_selected_buffer_miles,candidate_q1,0
2,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_miles,candidate_q3,0
2,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,reference_5_miles,0
3,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,candidate_median,0
3,17,0,0,1.0,17,8,0.0,mean_selected_buffer_miles,candidate_q1,0
3,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_miles,candidate_q3,0
3,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,reference_5_miles,0
4,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,candidate_median,0
4,17,0,0,1.0,17,8,0.0,mean_selected_buffer_miles,candidate_q1,0
4,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_miles,candidate_q3,0
4,17,0,0,1.0,17,8,0.11764705882352941,mean_selected_buffer_miles,reference_5_miles,0
2,17,0,0,1.0,17,8,0.35294117647058826,mean_selected_buffer_trip_minutes,candidate_median,0
2,17,0,0,1.0,17,8,0.058823529411764705,mean_selected_buffer_trip_minutes,candidate_q1,0
2,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_trip_minutes,candidate_q3,0
2,17,0,0,1.0,17,8,0.4117647058823529,mean_selected_buffer_trip_minutes,reference_30_minutes,0
3,17,0,0,1.0,17,8,0.35294117647058826,mean_selected_buffer_trip_minutes,candidate_median,0
3,17,0,0,1.0,17,8,0.058823529411764705,mean_selected_buffer_trip_minutes,candidate_q1,0
3,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_trip_minutes,candidate_q3,0
3,17,0,0,1.0,17,8,0.4117647058823529,mean_selected_buffer_trip_minutes,reference_30_minutes,0
4,17,0,0,1.0,17,8,0.35294117647058826,mean_selected_buffer_trip_minutes,candidate_median,0
4,17,0,0,1.0,17,8,0.058823529411764705,mean_selected_buffer_trip_minutes,candidate_q1,0
4,17,0,0,1.0,17,8,0.8823529411764706,mean_selected_buffer_trip_minutes,candidate_q3,0
4,17,0,0,1.0,17,8,0.4117647058823529,mean_selected_buffer_trip_minutes,reference_30_minutes,0
2,4,0,0,1.0,3,16,0.0,mean_selected_buffer_miles,candidate_median,1
2,4,0,0,1.0,3,16,0.0,mean_selected_buffer_miles,candidate_q1,1
2,4,0,0,1.0,3,16,0.75,mean_selected_buffer_miles,candidate_q3,1
2,4,0,0,1.0,3,16,0.0,mean_selected_buffer_miles,reference_5_miles,1
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,candidate_median,0
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,candidate_q1,0
3,4,0,0,1.0,4,16,0.75,mean_selected_buffer_miles,candidate_q3,0
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,reference_5_miles,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,candidate_median,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,candidate_q1,0
4,4,0,0,1.0,4,16,0.75,mean_selected_buffer_miles,candidate_q3,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_miles,reference_5_miles,0
2,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_median,0
2,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_q1,0
2,4,0,0,1.0,4,16,1.0,mean_selected_buffer_trip_minutes,candidate_q3,0
2,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,reference_30_minutes,0
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_median,0
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_q1,0
3,4,0,0,1.0,4,16,1.0,mean_selected_buffer_trip_minutes,candidate_q3,0
3,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,reference_30_minutes,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_median,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,candidate_q1,0
4,4,0,0,1.0,4,16,1.0,mean_selected_buffer_trip_minutes,candidate_q3,0
4,4,0,0,1.0,4,16,0.0,mean_selected_buffer_trip_minutes,reference_30_minutes,0
