time_model,capacity,query,lower,upper,width,lower_status,upper_status,lower_mip_gap,upper_mip_gap,variables,binary_variables,constraints,elementary_segments
exact_second,2,run_count_per_core,0.5,1.0,0.5,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,17040,10272,31021,846
exact_second,2,selected_buffer_rows_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NO_INCUMBENT,0.0,,17040,10272,31021,846
exact_second,2,companion_mass_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NO_INCUMBENT,0.0,,17040,10272,31021,846
exact_second,3,run_count_per_core,0.375,1.0,0.625,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,17040,10272,31021,846
exact_second,3,selected_buffer_rows_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NUMERICAL_OR_LIMIT,0.0,0.29133858267716534,17040,10272,31021,846
exact_second,3,companion_mass_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NO_INCUMBENT,0.0,,17040,10272,31021,846
exact_second,4,run_count_per_core,0.25,1.0,0.75,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,17040,10272,31021,846
exact_second,4,selected_buffer_rows_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NUMERICAL_OR_LIMIT,0.0,1.4797687861271676,17040,10272,31021,846
exact_second,4,companion_mass_per_core,,,,OPTIMAL_NUMERICAL_MILP,UNRESOLVED_NUMERICAL_OR_LIMIT,0.0,1.5260115606936415,17040,10272,31021,846
rounded_15m_outer,2,run_count_per_core,0.5,1.0,0.5,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,2,selected_buffer_rows_per_core,0.0,9.0,9.0,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,2,companion_mass_per_core,0.5,9.0,8.5,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,3,run_count_per_core,0.375,1.0,0.625,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,3,selected_buffer_rows_per_core,0.0,14.125,14.125,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,3,companion_mass_per_core,0.5,14.125,13.625,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,4,run_count_per_core,0.25,1.0,0.75,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,4,selected_buffer_rows_per_core,0.0,18.5,18.5,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
rounded_15m_outer,4,companion_mass_per_core,0.5,18.5,18.0,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,3808,3656,4557,19
