core_rows,buffer_rows,capacity,status,elapsed_seconds_wall,nodes_processed,buffer_branches,pair_branches,total_generated_columns_across_nodes,total_oracle_lp_solve_count,total_pricing_case_count,runtime_share,oracle_lp_solves_per_node,columns_per_node,pricing_cases_per_node,milliseconds_per_oracle_lp
4,12,2,INTEGER_OPTIMUM_CERTIFIED,0.4807889269999919,1.0,0.0,0.0,54.0,450.0,8.0,5.054981145085623e-05,450.0,54.0,8.0,1.0684198377777596
4,12,3,INTEGER_OPTIMUM_CERTIFIED,6.976180139000007,4.0,0.0,3.0,303.0,6552.0,127.0,0.0007334706996562429,1638.0,75.75,31.75,1.0647405584554346
4,12,4,INTEGER_OPTIMUM_CERTIFIED,6.218402319999996,2.0,0.0,1.0,208.0,5400.0,96.0,0.0006537984698669485,2700.0,104.0,48.0,1.1515559851851844
6,18,2,INTEGER_OPTIMUM_CERTIFIED,4.036212802000023,1.0,0.0,0.0,115.0,3185.0,30.0,0.00042436459048616294,3185.0,115.0,30.0,1.2672567667190024
6,18,3,INTEGER_OPTIMUM_CERTIFIED,56.31731089799996,8.0,1.0,6.0,1215.0,44390.0,478.0,0.005921162671271746,5548.75,151.875,59.75,1.2686936449200261
6,18,4,INTEGER_OPTIMUM_CERTIFIED,15.26231062200003,1.0,0.0,0.0,205.0,11466.0,108.0,0.0016046686621102543,11466.0,205.0,108.0,1.3310928503401387
8,24,2,INTEGER_OPTIMUM_CERTIFIED,12.209560338000017,1.0,0.0,0.0,206.0,8154.0,48.0,0.0012837046327894396,8154.0,206.0,48.0,1.4973706571008116
8,24,3,INTEGER_OPTIMUM_CERTIFIED,62.053254443000014,3.0,0.0,2.0,836.0,38227.0,224.0,0.006524235763037259,12742.333333333334,278.6666666666667,74.66666666666667,1.623283397677035
8,24,4,INTEGER_OPTIMUM_CERTIFIED,79.94337819600003,4.0,0.0,3.0,1123.0,49559.0,336.0,0.008405190859464949,12389.75,280.75,84.0,1.6130950623701048
10,30,2,INTEGER_OPTIMUM_CERTIFIED,52.466702271999964,1.0,0.0,0.0,332.0,28820.0,110.0,0.005516312374011585,28820.0,332.0,110.0,1.8204962620402487
10,30,3,INTEGER_OPTIMUM_CERTIFIED,86.36225595599996,1.0,0.0,0.0,427.0,41920.0,160.0,0.009080067176851718,41920.0,427.0,160.0,2.0601683195610674
10,30,4,INTEGER_OPTIMUM_CERTIFIED,1031.001656641,8.0,0.0,7.0,3254.0,349152.0,1575.0,0.10839879294625236,43644.0,406.75,196.875,2.9528734094062186
12,36,2,INTEGER_OPTIMUM_CERTIFIED,145.94152955099992,1.0,0.0,0.0,493.0,64753.0,156.0,0.015344190324193412,64753.0,493.0,156.0,2.253818812271245
12,36,3,INTEGER_OPTIMUM_CERTIFIED,198.90846131499995,1.0,0.0,0.0,580.0,79696.0,192.0,0.020913096477060394,79696.0,580.0,192.0,2.4958399582789594
12,36,4,INTEGER_OPTIMUM_CERTIFIED,2075.4904837189997,11.0,0.0,10.0,5498.0,544203.0,2676.0,0.21821561755735608,49473.0,499.8181818181818,243.27272727272728,3.813816689211562
16,48,2,INTEGER_OPTIMUM_CERTIFIED,415.5878913659999,1.0,0.0,0.0,832.0,126600.0,192.0,0.0436946201754155,126600.0,832.0,192.0,3.2826847659241696
16,48,3,INTEGER_OPTIMUM_CERTIFIED,1068.7330998119999,3.0,1.0,1.0,2907.0,242650.0,368.0,0.1123658504863749,80883.33333333333,969.0,122.66666666666667,4.404422418347413
16,48,4,INTEGER_OPTIMUM_CERTIFIED,4193.201822898,7.0,0.0,6.0,6874.0,744622.0,1672.0,0.44087030632235025,106374.57142857143,982.0,238.85714285714286,5.631316054183196
