window_index,window_label,capacity,q,restriction,ordered_buffer_subsets,restricted_buffer_subsets,extra_ordered_buffer_subsets,shared_subsets_with_extra_ordered_partitions,extra_ordered_partitions_on_shared_subsets,ordered_partitions_on_extra_subsets,ordered_event_partitions,restricted_event_partitions
0,jan_weekday_am_n8,2,2,pair,66,66,0,0,0,0,726,726
0,jan_weekday_am_n8,2,2,clique,66,66,0,0,0,0,726,726
0,jan_weekday_am_n8,2,4,pair,495,495,0,0,0,0,9900,9900
0,jan_weekday_am_n8,2,4,clique,495,495,0,0,0,0,9900,9900
0,jan_weekday_am_n8,3,2,pair,66,66,0,66,748,0,1474,726
0,jan_weekday_am_n8,3,2,clique,66,66,0,11,165,0,1474,1309
0,jan_weekday_am_n8,3,4,pair,495,495,0,495,93060,0,102960,9900
0,jan_weekday_am_n8,3,4,clique,495,495,0,165,20790,0,102960,82170
0,jan_weekday_am_n8,4,2,pair,66,66,0,66,1551,0,2277,726
0,jan_weekday_am_n8,4,2,clique,66,66,0,11,165,0,2277,2112
0,jan_weekday_am_n8,4,4,pair,495,495,0,495,162195,0,172095,9900
0,jan_weekday_am_n8,4,4,clique,495,495,0,165,29700,0,172095,142395
3,jan_weekend_am_n8,2,2,pair,66,66,0,0,0,0,726,726
3,jan_weekend_am_n8,2,2,clique,66,66,0,0,0,0,726,726
3,jan_weekend_am_n8,2,4,pair,495,495,0,0,0,0,9900,9900
3,jan_weekend_am_n8,2,4,clique,495,495,0,0,0,0,9900,9900
3,jan_weekend_am_n8,3,2,pair,66,66,0,66,748,0,1474,726
3,jan_weekend_am_n8,3,2,clique,66,66,0,11,165,0,1474,1309
3,jan_weekend_am_n8,3,4,pair,495,495,0,495,93060,0,102960,9900
3,jan_weekend_am_n8,3,4,clique,495,495,0,165,20790,0,102960,82170
3,jan_weekend_am_n8,4,2,pair,66,66,0,66,1551,0,2277,726
3,jan_weekend_am_n8,4,2,clique,66,66,0,11,165,0,2277,2112
3,jan_weekend_am_n8,4,4,pair,495,495,0,495,162195,0,172095,9900
3,jan_weekend_am_n8,4,4,clique,495,495,0,165,29700,0,172095,142395
5,apr_weekday_am_n8,2,2,pair,66,66,0,3,10,0,641,631
5,apr_weekday_am_n8,2,2,clique,66,66,0,3,10,0,641,631
5,apr_weekday_am_n8,2,4,pair,495,495,0,117,1818,0,9108,7290
5,apr_weekday_am_n8,2,4,clique,495,495,0,117,1818,0,9108,7290
5,apr_weekday_am_n8,3,2,pair,66,66,0,66,878,0,1509,631
5,apr_weekday_am_n8,3,2,clique,66,66,0,30,404,0,1509,1105
5,apr_weekday_am_n8,3,4,pair,495,495,0,495,96039,0,103329,7290
5,apr_weekday_am_n8,3,4,clique,495,495,0,369,44757,0,103329,58572
5,apr_weekday_am_n8,4,2,pair,66,66,0,66,1505,0,2136,631
5,apr_weekday_am_n8,4,2,clique,66,66,0,30,407,0,2136,1729
5,apr_weekday_am_n8,4,4,pair,495,495,0,495,156156,0,163446,7290
5,apr_weekday_am_n8,4,4,clique,495,495,0,369,63777,0,163446,99669
7,apr_weekday_pm_n8,2,2,pair,66,66,0,3,12,0,583,571
7,apr_weekday_pm_n8,2,2,clique,66,66,0,3,12,0,583,571
7,apr_weekday_pm_n8,2,4,pair,495,486,9,108,3024,252,9108,5832
7,apr_weekday_pm_n8,2,4,clique,495,486,9,108,3024,252,9108,5832
7,apr_weekday_pm_n8,3,2,pair,66,66,0,66,864,0,1435,571
7,apr_weekday_pm_n8,3,2,clique,66,66,0,30,437,0,1435,998
7,apr_weekday_pm_n8,3,4,pair,495,486,9,486,92664,1080,99576,5832
7,apr_weekday_pm_n8,3,4,clique,495,495,0,369,52722,0,99576,46854
7,apr_weekday_pm_n8,4,2,pair,66,66,0,66,1435,0,2006,571
7,apr_weekday_pm_n8,4,2,clique,66,66,0,30,440,0,2006,1566
7,apr_weekday_pm_n8,4,4,pair,495,486,9,486,146088,1467,153387,5832
7,apr_weekday_pm_n8,4,4,clique,495,495,0,369,73782,0,153387,79605
