window_index,window_label,capacity,family,run_column_count,reachable_selected_buffer_counts,maximum_selected_buffers,columns_excluded_from_ordered,common_positive_q,compared_q
0,jan_weekday_am_n8,2,ordered,78,"[0, 1, 2, 3, 4, 5]",5,0,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,2,pair,52,"[0, 2, 4]",4,26,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,2,clique,52,"[0, 2, 4]",4,26,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,3,ordered,560,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",9,0,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,3,pair,52,"[0, 2, 4]",4,508,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,3,clique,365,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8,195,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,4,ordered,2366,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,4,pair,52,"[0, 2, 4]",4,2314,"[2, 4]","[2, 4]"
0,jan_weekday_am_n8,4,clique,1521,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,845,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,2,ordered,78,"[0, 1, 2, 3, 4, 5]",5,0,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,2,pair,52,"[0, 2, 4]",4,26,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,2,clique,52,"[0, 2, 4]",4,26,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,3,ordered,560,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",9,0,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,3,pair,52,"[0, 2, 4]",4,508,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,3,clique,365,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8,195,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,4,ordered,2366,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,4,pair,52,"[0, 2, 4]",4,2314,"[2, 4]","[2, 4]"
3,jan_weekend_am_n8,4,clique,1521,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,845,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,2,ordered,109,"[0, 1, 2, 3, 4, 5, 6]",6,0,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,2,pair,49,"[0, 2, 4]",4,60,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,2,clique,49,"[0, 2, 4]",4,60,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,3,ordered,794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,3,pair,49,"[0, 2, 4]",4,745,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,3,clique,325,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8,469,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,4,ordered,3258,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,4,pair,49,"[0, 2, 4]",4,3209,"[2, 4]","[2, 4]"
5,apr_weekday_am_n8,4,clique,1271,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1987,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,2,ordered,127,"[0, 1, 2, 3, 4, 5, 6, 7]",7,0,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,2,pair,47,"[0, 2, 4]",4,80,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,2,clique,47,"[0, 2, 4]",4,80,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,3,ordered,946,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11,0,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,3,pair,47,"[0, 2, 4]",4,899,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,3,clique,300,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8,646,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,4,ordered,3841,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,4,pair,47,"[0, 2, 4]",4,3794,"[2, 4]","[2, 4]"
7,apr_weekday_pm_n8,4,clique,1125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,2716,"[2, 4]","[2, 4]"
