window_index,window_label,capacity,q,common_feasible,ordered_reachable_buffer_masks,pair_reachable_buffer_masks,clique_reachable_buffer_masks,ordered_exceeds_clique,ordered_exceeds_pair
0,jan_weekday_am_n8,2,1,False,,,,False,False
0,jan_weekday_am_n8,2,2,True,66,66,66,False,False
0,jan_weekday_am_n8,2,3,False,,,,False,False
0,jan_weekday_am_n8,2,4,True,495,495,495,False,False
0,jan_weekday_am_n8,3,1,False,,,,False,False
0,jan_weekday_am_n8,3,2,True,66,66,66,False,False
0,jan_weekday_am_n8,3,3,False,,,,False,False
0,jan_weekday_am_n8,3,4,True,495,495,495,False,False
0,jan_weekday_am_n8,4,1,False,,,,False,False
0,jan_weekday_am_n8,4,2,True,66,66,66,False,False
0,jan_weekday_am_n8,4,3,False,,,,False,False
0,jan_weekday_am_n8,4,4,True,495,495,495,False,False
3,jan_weekend_am_n8,2,1,False,,,,False,False
3,jan_weekend_am_n8,2,2,True,66,66,66,False,False
3,jan_weekend_am_n8,2,3,False,,,,False,False
3,jan_weekend_am_n8,2,4,True,495,495,495,False,False
3,jan_weekend_am_n8,3,1,False,,,,False,False
3,jan_weekend_am_n8,3,2,True,66,66,66,False,False
3,jan_weekend_am_n8,3,3,False,,,,False,False
3,jan_weekend_am_n8,3,4,True,495,495,495,False,False
3,jan_weekend_am_n8,4,1,False,,,,False,False
3,jan_weekend_am_n8,4,2,True,66,66,66,False,False
3,jan_weekend_am_n8,4,3,False,,,,False,False
3,jan_weekend_am_n8,4,4,True,495,495,495,False,False
5,apr_weekday_am_n8,2,1,False,,,,False,False
5,apr_weekday_am_n8,2,2,True,66,66,66,False,False
5,apr_weekday_am_n8,2,3,False,,,,False,False
5,apr_weekday_am_n8,2,4,True,495,495,495,False,False
5,apr_weekday_am_n8,3,1,False,,,,False,False
5,apr_weekday_am_n8,3,2,True,66,66,66,False,False
5,apr_weekday_am_n8,3,3,False,,,,False,False
5,apr_weekday_am_n8,3,4,True,495,495,495,False,False
5,apr_weekday_am_n8,4,1,False,,,,False,False
5,apr_weekday_am_n8,4,2,True,66,66,66,False,False
5,apr_weekday_am_n8,4,3,False,,,,False,False
5,apr_weekday_am_n8,4,4,True,495,495,495,False,False
7,apr_weekday_pm_n8,2,1,False,,,,False,False
7,apr_weekday_pm_n8,2,2,True,66,66,66,False,False
7,apr_weekday_pm_n8,2,3,False,,,,False,False
7,apr_weekday_pm_n8,2,4,True,495,486,486,True,True
7,apr_weekday_pm_n8,3,1,False,,,,False,False
7,apr_weekday_pm_n8,3,2,True,66,66,66,False,False
7,apr_weekday_pm_n8,3,3,False,,,,False,False
7,apr_weekday_pm_n8,3,4,True,495,486,495,False,True
7,apr_weekday_pm_n8,4,1,False,,,,False,False
7,apr_weekday_pm_n8,4,2,True,66,66,66,False,False
7,apr_weekday_pm_n8,4,3,False,,,,False,False
7,apr_weekday_pm_n8,4,4,True,495,486,495,False,True
