capacity,family,q,query,status,reachable_q_buffer_masks,all_possible_q_buffer_subsets,lower,lower_rational,lower_witness_sha256,lower_milp_status,lower_milp_witness_sha256,upper,upper_rational,upper_witness_sha256,upper_milp_status,upper_milp_witness_sha256,width,width_rational,elapsed_seconds
2,ordered,2,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,7.189,7189/1000,9b0481af773432a2fb0fcb51012db5073e97c5d12bcdf9dfa0974b355c8026c8,OPTIMAL_NUMERICAL_MILP_REPLAYED,a6fc677f1b70e1b729876613c0fb877a4ff31873667a5a19e6d8a9d81c8d3f88,26.8445,53689/2000,78d5a8203ee84de1c48dfb4676a60be8cd2671874d9eb4b5b76474192312c322,OPTIMAL_NUMERICAL_MILP_REPLAYED,3ff3fb8003ea4880aa01179c5394ba30b8affaed189442367eaa53242710ef1e,19.6555,39311/2000,0.005301386998326052
2,pair,2,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,7.189,7189/1000,a83c386dca17d828d8fd4c653f9d606cebb5f2f567f65eb0a62138f9a59475c1,OPTIMAL_NUMERICAL_MILP_REPLAYED,fa3855ab6ede01eadcdcfd16214cb2bd2502522aa755e99ce74c9dc6b4ded914,26.8445,53689/2000,dd71b52474da486814ec95d4b50f72dc9de7a4823a45a3b986e3783e1d5dbe04,OPTIMAL_NUMERICAL_MILP_REPLAYED,a38072b8d2bb2a583a10ed808a122e1be382772ed16b8764ec76214ab577779d,19.6555,39311/2000,0.00514309400023194
2,clique,2,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,7.189,7189/1000,097a4ed29c6c50ad749005e4d455974f673d36d2343745baac506c51178d84b4,OPTIMAL_NUMERICAL_MILP_REPLAYED,5053c8693c2c0dad9e3b21961154c8c6f809cd0e02bb6a36b1e672a3231c077e,26.8445,53689/2000,5d88e78dd54f78ca2c2c5fc7ed4558c2191a6b31cc649fcf8861599f88a9b87e,OPTIMAL_NUMERICAL_MILP_REPLAYED,f9c097613238e62f622e5dd6645e22365c4011feead2e15a2b67e8ecb53e22a4,19.6555,39311/2000,0.005859404998773243
2,ordered,2,mean_selected_buffer_trip_minutes,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,42.84166666666667,5141/120,5762a700f26f7787320e339107a999f0f25a50a880664408ade7dae40c631737,OPTIMAL_NUMERICAL_MILP_REPLAYED,4b77b8b13916a4bfb785bc262918d01ce32dfc21acfbf3c6181985302b3c72b3,88.33333333333333,265/3,32ae32bdf1cbc7c9862e4ac3636c26a406502ec301568bef467c433d716eb3e0,OPTIMAL_NUMERICAL_MILP_REPLAYED,3206a886cb80078349a032f591f1d9c9c48f4ed13fd3948a470a5301c59a4b92,45.49166666666667,5459/120,0.005119111003295984
2,pair,2,mean_selected_buffer_trip_minutes,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,42.84166666666667,5141/120,604408700b6db3ac0b22406e7509ba6c2e4ae515a4583218761c76688e392fbf,OPTIMAL_NUMERICAL_MILP_REPLAYED,abab23fec469bb0fe1694161e5980dd8b6b586cb28584ca08cd6c68ddc212440,88.33333333333333,265/3,9eadd4b466fef5f477ca55927d1e508e125e617ab2e3059d83d0672ed5c21d65,OPTIMAL_NUMERICAL_MILP_REPLAYED,2dbd04c85a5cca0278e63ae2ffdb5d21d2fec6b44586d0a3d0d7391c057a779a,45.49166666666667,5459/120,0.005109263998747338
2,clique,2,mean_selected_buffer_trip_minutes,CERTIFIED_EXACT_FINITE_FRONTIER,66,66,42.84166666666667,5141/120,3163520beec088ad56bdf95bacf8892712bceaf5cffdb67112613bf5eeac898a,OPTIMAL_NUMERICAL_MILP_REPLAYED,84bfeb53fb93627843c028cd2430c29bc25756401eb3021d2a00f0be9d7d575b,88.33333333333333,265/3,f82990fab12a63d18cd8edbbdef4e707c9f456c83c62dc830a23aaaa864ce5c8,OPTIMAL_NUMERICAL_MILP_REPLAYED,4b7d661aaeadc0c088afd38478b659fa1d06f9561d4f5b10cac41add1d40f0a9,45.49166666666667,5459/120,0.0050701069994829595
2,ordered,4,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,495,495,9.26775,37071/4000,755ecaea2e3591634e7a09e9efca888ee4bf7c8739d1b5d12d1eb82154ac695b,OPTIMAL_NUMERICAL_MILP_REPLAYED,62c44ae81d02a49c52893de081992fd473d41a6cf6c9a503c72f227d0a4e614e,24.658,12329/500,26a1dfa81466e1556ee97cc5e781ef369cdd26616626a9707aa0b60dddda4f83,OPTIMAL_NUMERICAL_MILP_REPLAYED,8393051a7abc3fc5a86621213e90bf83a3eeb20d141946ef3724d808b33a932d,15.39025,61561/4000,0.012683358996582683
2,pair,4,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,495,495,9.26775,37071/4000,e3358c72ed4e502c54b29a12790027cc30952a8a405441331aab6c5584ed0f67,OPTIMAL_NUMERICAL_MILP_REPLAYED,10ff477971a721942a6c2157f164096708502b654dc953f5571a92ff7a29680f,24.658,12329/500,4950993e49af4d0a6f06897cc53a9f8f8704c99cc73d4612449d5779a26447f8,OPTIMAL_NUMERICAL_MILP_REPLAYED,68b49114e12ac9d37da5fc5ef6592b9adaa0da5ea50cfa5fb5f2a1af562db31d,15.39025,61561/4000,0.011529866002092604
2,clique,4,mean_selected_buffer_miles,CERTIFIED_EXACT_FINITE_FRONTIER,495,495,9.26775,37071/4000,d43253714bd9e545e6c1ffb8dcad486350b21c2adfdd2832795697b3ae07e9e1,OPTIMAL_NUMERICAL_MILP_REPLAYED,016619efe2cf65dbee43e06ee79fcddf4c8236b32f5d5339058b183e3b870636,24.658,12329/500,c1a42c6a06ad4dbb40d974338781e95ef4c6b21387d19ae21eba027b1375428a,OPTIMAL_NUMERICAL_MILP_REPLAYED,d790cbd9ba93f23f77c2bab63591f6f55a72c87b0885f5caf682aa35343a0170,15.39025,61561/4000,0.011747723001462873
2,ordered,4,mean_selected_buffer_trip_minutes,CERTIFIED_EXACT_FINITE_FRONTIER,495,495,49.95,999/20,aeb5462029273f83291a3494c3731d46b674863fcc36fef63b25740272236dcb,OPTIMAL_NUMERICAL_MILP_REPLAYED,aeb5462029273f83291a3494c3731d46b674863fcc36fef63b25740272236dcb,83.6,418/5,26a1dfa81466e1556ee97cc5e781ef369cdd26616626a9707aa0b60dddda4f83,OPTIMAL_NUMERICAL_MILP_REPLAYED,8393051a7abc3fc5a86621213e90bf83a3eeb20d141946ef3724d808b33a932d,33.65,673/20,0.011216213999432512
