trip_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,pickup_census_tract,dropoff_census_tract,shared_trip_authorized,shared_trip_match,trips_pooled,fare,trip_total,synthetic_data_warning
syn-0-00-p00-0,2026-01-20 06:00:00,2026-01-20 06:15:00,700,1.699,41.878396,-87.63107,41.89528,-87.640549,8,8,17031000000,17031900001,True,True,2,7.99,12.24,SIMULATED; not a City of Chicago observation
syn-0-00-p00-1,2026-01-20 06:00:00,2026-01-20 06:15:00,679,1.626,41.879433,-87.631615,41.894192,-87.639729,8,8,17031000000,17031900001,True,True,2,7.82,12.07,SIMULATED; not a City of Chicago observation
syn-0-00-p01-0,2026-01-20 06:00:00,2026-01-20 06:15:00,818,1.678,41.884935,-87.630374,41.896787,-87.635108,8,8,17031000000,17031900001,True,True,2,8.4,12.65,SIMULATED; not a City of Chicago observation
syn-0-00-p01-1,2026-01-20 06:00:00,2026-01-20 06:15:00,809,1.757,41.884723,-87.628276,41.896423,-87.635637,8,8,17031000000,17031900001,True,True,2,8.46,12.71,SIMULATED; not a City of Chicago observation
syn-0-00-p02-0,2026-01-20 06:00:00,2026-01-20 06:15:00,693,1.641,41.88131,-87.624315,41.909529,-87.630697,8,8,17031000002,17031900003,True,True,2,7.89,12.14,SIMULATED; not a City of Chicago observation
syn-0-00-p02-1,2026-01-20 06:00:00,2026-01-20 06:15:00,746,1.742,41.881511,-87.623162,41.907128,-87.633447,8,8,17031000004,17031900000,True,True,2,8.21,12.46,SIMULATED; not a City of Chicago observation
syn-0-00-p03-0,2026-01-20 06:00:00,2026-01-20 06:15:00,712,1.528,41.885244,-87.626383,41.896555,-87.627145,8,8,17031000003,17031900004,True,True,2,7.82,12.07,SIMULATED; not a City of Chicago observation
syn-0-00-p03-1,2026-01-20 06:00:00,2026-01-20 06:15:00,715,1.465,41.884528,-87.62729,41.897979,-87.624169,8,8,17031000003,17031900004,True,True,2,7.75,12.0,SIMULATED; not a City of Chicago observation
syn-0-00-u00,2026-01-20 06:00:00,2026-01-20 06:00:00,348,2.387,41.881416,-87.615224,41.901646,-87.61906,8,8,17031000000,17031900002,True,False,1,7.58,11.83,SIMULATED; not a City of Chicago observation
syn-0-00-u01,2026-01-20 06:00:00,2026-01-20 06:15:00,590,1.18,41.880189,-87.610474,41.904906,-87.62066,8,8,17031000001,17031900003,True,False,1,6.92,11.17,SIMULATED; not a City of Chicago observation
syn-0-00-u02,2026-01-20 06:00:00,2026-01-20 06:15:00,1067,2.007,41.882104,-87.612736,41.903024,-87.615814,8,8,17031000002,17031900004,True,False,1,9.73,13.98,SIMULATED; not a City of Chicago observation
syn-0-00-u03,2026-01-20 06:00:00,2026-01-20 06:30:00,1532,1.031,41.884588,-87.615344,41.900996,-87.623227,8,8,17031000003,17031900000,True,False,1,10.19,14.44,SIMULATED; not a City of Chicago observation
syn-0-01-p00-0,2026-01-20 06:45:00,2026-01-20 07:00:00,1172,3.696,41.900889,-87.630234,41.936458,-87.652334,8,6,17031000104,17031900101,True,True,2,12.28,16.53,SIMULATED; not a City of Chicago observation
syn-0-01-p00-1,2026-01-20 06:45:00,2026-01-20 07:00:00,1195,3.755,41.900171,-87.630947,41.937196,-87.652901,8,6,17031000104,17031900101,True,True,2,12.44,16.69,SIMULATED; not a City of Chicago observation
syn-0-01-p01-0,2026-01-20 06:45:00,2026-01-20 07:00:00,1153,3.436,41.899025,-87.632572,41.944909,-87.646216,8,6,17031000100,17031900102,True,True,2,11.88,16.13,SIMULATED; not a City of Chicago observation
syn-0-01-p01-1,2026-01-20 06:45:00,2026-01-20 07:00:00,1156,3.562,41.899052,-87.63224,41.944109,-87.646138,8,6,17031000100,17031900102,True,True,2,12.05,16.3,SIMULATED; not a City of Chicago observation
